sampler,count,designable_count,mpnn_score_mean,standard_plddt_mean,standard_ptm_mean,ca_rmsd_mean,tm_norm_backbone_mean,designable_rate,sampler_label,runtime_seconds,network_calls,designable_per_second,designable_rate_per_second,designable_per_network_call,designable_rate_per_network_call
euler_5_n20,120,9,1.4555058333333333,52.11896083333333,0.20259387499999998,14.2638425,0.3047572833333333,0.075,"Euler 5, n=20",37.0,5,0.24324324324324326,0.002027027027027027,1.8,0.015
heun_5_n20,120,107,1.0530175,65.0694125,0.5009589083333333,3.9463223750000003,0.7340386916666667,0.8916666666666667,"Heun 5, n=20",44.0,9,2.4318181818181817,0.020265151515151517,11.88888888888889,0.09907407407407408
